part,layer,timestep,level,lambda,vs,mse,rmse,rel_rmse,cosine_global,cosine_row_mean,cosine_row_median,cosine_row_p05,cosine_row_min,max_abs_err,skip_rate,force_keep_count,dropped_mass_mean,dropped_mass_p95,dropped_mass_max
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.3,no_skip_fp8,0.004781088791787624,0.06914541772082677,0.20714259147644043,0.9807788133621216,0.975691556930542,0.9954931139945984,0.9083405137062073,0.12084995210170746,1.3072818517684937,0.5678557098765432,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.5,ground_truth,0.007771182805299759,0.08815431246002522,0.26376208662986755,0.969168484210968,0.9559327960014343,0.98443603515625,0.8187789916992188,0.06107392907142639,2.81929874420166,0.6956636659807957,0,0.3280279338359833,0.6963075995445251,0.9084632992744446
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.5,no_skip_fp8,0.007594230119138956,0.08714488005120528,0.2610645592212677,0.9699505567550659,0.9561908841133118,0.9848316311836243,0.8180517554283142,0.05466042831540108,1.3648431301116943,0.6956636659807957,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.7,ground_truth,0.01080523431301117,0.10394822900372651,0.31101828813552856,0.9575316905975342,0.9322712421417236,0.9672569036483765,0.751546323299408,0.06536425650119781,2.81929874420166,0.802409036351166,0,0.4584566652774811,0.7945369482040405,0.9650360345840454
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.7,no_skip_fp8,0.010630564764142036,0.10310463017799945,0.30887600779533386,0.9582940936088562,0.9324966669082642,0.9674085974693298,0.7511026263237,0.05900859832763672,1.6879894733428955,0.802409036351166,,,,
wan21_p2,layer_0,timestep_0,bf16_ref,,ground_truth,1.1219418638575007e-06,0.0010592175715392475,0.0024277244228869677,0.9999967813491821,0.9999976754188538,0.9999976754188538,0.9999958276748657,0.9999840259552002,0.03769111633300781,,,,,
wan21_p2,layer_0,timestep_0,fp8_qkv,,ground_truth,0.0021782738622277975,0.04667198155454509,0.10697208344936371,0.994283139705658,0.9977798461914062,0.9995599389076233,0.9902456402778625,0.7344341278076172,2.1184303760528564,,,,,
wan21_p2,layer_0,timestep_0,fp8_static_p,,ground_truth,0.002208384685218334,0.04699345364216525,0.1077089011669159,0.9942026138305664,0.9977333545684814,0.9995529651641846,0.9900555610656738,0.7367330193519592,2.1340222358703613,,,,,
wan21_p2,layer_0,timestep_0,fp8_static_p_skip,0.0,ground_truth,0.002208384685218334,0.04699345364216525,0.1077089011669159,0.9942026138305664,0.9977333545684814,0.9995529651641846,0.9900555610656738,0.7367330193519592,2.1340222358703613,0.0,0,0.0,0.0,0.0
wan21_p2,layer_0,timestep_0,fp8_static_p_skip,0.0,no_skip_fp8,0.0,0.0,0.0,0.9999998807907104,1.0,1.0,0.9999998807907104,0.9999995231628418,0.0,0.0,,,,
wan21_p2,layer_0,timestep_0,fp8_static_p_skip,0.001,ground_truth,0.0022104927338659763,0.047015877465660216,0.10776029527187347,0.9942017197608948,0.9977328181266785,0.9995530843734741,0.9900521636009216,0.7367233037948608,2.1338307857513428,0.17505898491083677,0,0.00039825268322601914,0.002046411857008934,0.02961888536810875
wan21_p2,layer_0,timestep_0,fp8_static_p_skip,0.001,no_skip_fp8,2.7805188551610627e-07,0.0005273062540081488,0.0012079345760867,0.9999995231628418,0.9999998211860657,1.0,0.9999993443489075,0.9998740553855896,0.04167032241821289,0.17505898491083677,,,,
wan21_p2,layer_0,timestep_0,fp8_static_p_skip,0.003,ground_truth,0.0022150850854814053,0.04706469043222748,0.10787218064069748,0.9941980838775635,0.9977313876152039,0.999552845954895,0.9900470972061157,0.7366818189620972,2.133664608001709,0.21910665294924553,0,0.001023025601170957,0.004902403801679611,0.05175763741135597
wan21_p2,layer_0,timestep_0,fp8_static_p_skip,0.003,no_skip_fp8,1.910332684929017e-06,0.0013821478520509363,0.0031661754474043846,0.9999964237213135,0.9999987483024597,0.9999999403953552,0.9999938607215881,0.9995785355567932,0.1154031753540039,0.21910665294924553,,,,
wan21_p2,layer_0,timestep_0,fp8_static_p_skip,0.01,ground_truth,0.0022406650241464376,0.047335663343259886,0.10849324613809586,0.9941675662994385,0.997713029384613,0.9995453953742981,0.9899788498878479,0.7363266944885254,2.133274555206299,0.2789314986282579,0,0.0034970452543348074,0.015414325520396233,0.09040891379117966
wan21_p2,layer_0,timestep_0,fp8_static_p_skip,0.01,no_skip_fp8,1.6818476069602184e-05,0.00410103353675658,0.009394502267241478,0.9999707341194153,0.9999793171882629,0.9999998807907104,0.9998959898948669,0.9971543550491333,0.27222323417663574,0.2789314986282579,,,,
wan21_p2,layer_0,timestep_0,fp8_static_p_skip,0.03,ground_truth,0.002438250696286559,0.04937864615688202,0.11317574977874756,0.9938899278640747,0.9974856376647949,0.9994717836380005,0.9891462922096252,0.73499995470047,2.077333450317383,0.34354038065843623,0,0.011630111373960972,0.048489995300769806,0.22718816995620728
wan21_p2,layer_0,timestep_0,fp8_static_p_skip,0.03,no_skip_fp8,0.00017928329179994762,0.01338967108632425,0.030672583729028702,0.9997035264968872,0.999752402305603,0.9999971985816956,0.9987050294876099,0.9581743478775024,0.7493476867675781,0.34354038065843623,,,,
